accountsreceivableall,accountsreceivablecollections,accountsreceivableguest,accountsreceivableinsurance,accountsreceivablepatient,arcaptureratebybilling,arcaptureratebybillingdenominator,arcaptureratebybillingnumerator,arcaptureratebyorder,arcaptureratebyorderdenominator,arcaptureratebyordernumerator,contactlenscapturerate,contactlenscaptureratedenominator,contactlenscaptureratenumerator,contactlenssales,eyeglasscaptureratebybilling,eyeglasscaptureratebybillingdenominator,eyeglasscaptureratebybillingnumerator,eyeglasscaptureratebyorder,eyeglasscaptureratebyorderdenominator,eyeglasscaptureratebyordernumerator,medicalmanagementratio,medicalmanagementratiodenominator,medicalmanagementrationumerator,newpatientpercentage,newpatientpercentagedenominator,newpatientpercentagenumerator,patientage0to9,patientage100to109,patientage10to19,patientage110to119,patientage20to29,patientage30to39,patientage40to49,patientage50to59,patientage60to69,patientage70to79,patientage80to89,patientage90to99,patientgenderfemale,patientgendermale,patientgenderunknown,productionbooked,productionbookeddenominator,productionbookednumerator,productioncompleted,productioncompleteddenominator,productioncompletednumerator,ratio9921x,ratio9921xdenominator,ratio9921xnumerator,receiptsbyproviderall,receiptsbyprovidercollections,receiptsbyproviderguest,receiptsbyproviderinsurance,receiptsbyproviderpatient,salesbyproviderall,salesbyproviderguest,salesbyproviderinsurance,salesbyproviderpatient
1286525.16,0,0,1235724.37,50800.79,0.5375,400,215,0.532019704,406,216,0.831775701,107,89,26331.36,0.562340967,393,221,0.562340967,393,221,0.461373391,466,215,0.306163022,503,154,15,1,57,0,73,76,75,130,118,50,25,5,395,230,0,0.997229917,361,360,0.936288089,361,338,0,2,0,112784.92,0,0,2990.98,109793.94,273612.69,0,196633.52,76979.17
1239504.07,0,0,1233604.95,5899.12,0,0,0,0,1,0,0,101,0,21848.6,0,582,0,0,582,0,0.042975207,605,26,0.206840391,614,127,18,0,107,0,77,68,108,180,158,62,31,5,509,304,2,0.640625,768,492,0.608072917,768,467,0,19,0,104793.31,0,0,14446.99,90346.32,283048.9,0,249418.82,33630.08
1234567.51,0,0,1229010.5,5557.01,0.461309524,336,155,0.450581395,344,155,0.709401709,117,83,20745,0.517899761,419,217,0.517899761,419,217,0,401,0,0.327416174,507,166,29,0,107,0,100,75,78,89,62,20,4,1,334,230,1,0.417591125,1262,527,0.350237718,1262,442,0,0,0,76597.1,0,0,0,76597.1,201130.6,0,164127,37003.6
1239950.41,0,0,1203517.3,36433.11,0.871359223,412,359,0.859060403,447,384,0.640552995,217,139,70963.25,0.304672897,535,163,0.306542056,535,164,0.055755396,556,31,0.229982964,587,135,18,0,65,1,104,144,204,148,126,43,8,0,473,389,0,0.678780774,853,579,0.654161782,853,558,0.083333333,12,1,355503.37,0,5,103106.58,252391.79,417576.37,5,279664.83,137906.54
1216015.25,0,0,1197950.47,18064.78,0.785388128,438,344,0.77826087,460,358,0.662100457,219,145,79156.75,0.400355872,562,225,0.402135231,562,226,0,678,0,0.339385475,716,243,106,0,146,3,132,144,157,162,101,23,4,0,529,452,3,0.375061365,2037,764,0.35640648,2037,726,0,1,0,252777.39,0,0,3390.96,249386.43,471022.23,0,344038.59,126983.64
1232364.17,3171.3,0,1193486.2,35706.67,0.347826087,506,176,0.346007605,526,182,0.061643836,146,9,17012.51,0.506313131,792,401,0.511363636,792,405,0.434607646,994,432,0.283924843,958,272,87,0,216,0,136,138,155,176,131,110,47,10,703,503,0,0.803948264,1469,1181,0.697753574,1469,1025,0,110,0,132420.51,0,0,46993.41,85427.1,295510.83,0,235169.2,60607.51
1257293.38,0,119,1183769.37,73405.01,0.834567901,405,338,0.815909091,440,359,0.639240506,158,101,28904.9,0.486940299,536,261,0.490671642,536,263,0.43968254,630,277,0.457990115,607,278,60,0,156,0,134,156,136,109,55,14,5,0,492,333,2,0.423742138,1272,539,0.270440252,1272,344,0,93,0,214532.81,0,0,18931.86,195600.95,264527.12,0,151846.72,112680.4
1219202.76,0,0,1176967.28,42235.48,0.844155844,231,195,0.785714286,266,209,0.390510949,274,107,46599,0.245762712,472,116,0.25,472,118,0.429942418,521,224,0.618421053,532,329,5,0,3,0,202,309,122,39,18,3,0,0,385,316,0,0.913669065,417,381,0.860911271,417,359,0,40,0,115159.99,0,0,2499.9,112660.09,285959.02,0,210620.7,75338.32
1185016.43,0,0,1171773.52,13242.91,0.246217331,727,179,0.251017639,737,185,0.705882353,102,72,13244.4,0.644208038,846,545,0.644208038,846,545,0.008898776,899,8,0.650862069,928,604,110,0,392,0,76,93,102,94,82,115,34,6,681,424,0,0.812453669,1349,1096,0.682727947,1349,921,0,5,0,75740.12,0,0,0,75740.12,302944.55,0,258496.88,44447.67
1258803.71,41943.97,0,1167764.23,49095.51,0.322591146,3072,991,0.32211838,3210,1034,0.665587918,927,617,176550,0.49010315,3587,1758,0.492054642,3587,1765,0.455427669,4431,2018,0.284423882,4539,1291,463,1,971,2,614,599,779,1171,1093,626,188,37,3894,2641,10,0.68115942,8073,5499,0.588381023,8073,4750,0.682170543,387,264,1069368.39,1193.85,0,405807.61,662366.93,917349.74,0,510443.69,405796.12
1180650.75,0,3538.69,1164715.84,12396.22,0.87007874,254,221,0.845588235,272,230,0.466666667,60,28,7708,0.364485981,214,78,0.369158879,214,79,0.158469945,183,29,0.448113208,212,95,5,0,16,1,51,53,75,80,54,32,4,0,251,120,0,0.619672131,305,189,0.583606557,305,178,0,1,0,124661.44,0,676.75,3649.13,120335.56,240549.04,1194.56,169087.53,70266.95
1262792.28,5475.63,0,1155809.24,101507.41,0.752663116,6008,4522,0.726517668,6622,4811,0.661885871,3277,2169,711100.8,0.330983903,10499,3475,0.342032575,10499,3591,0.346797505,13146,4559,0.232716142,13394,3117,808,1,2414,3,1621,1706,2335,2833,2600,1733,675,120,10000,6845,6,0.769776585,20858,16056,0.685348547,20858,14295,1.093831451,1151,1259,4156456.76,836.65,0,1111571.27,3044048.84,4359914.18,0,2554529.88,1805067.15
1169715.18,0,0,1143485.91,26229.27,0,0,0,0,1,0,0.596343179,2844,1696,477324.43,0,7318,0,0,7318,0,0.217334552,7661,1665,0.466107004,7981,3720,111,1,1138,3,1846,1650,1662,1650,1119,443,91,21,5744,3891,100,0.053846154,130,7,0.053846154,130,7,0.030769231,130,4,1030251.94,0,0,391604.06,638647.88,1312783.46,0,679315.59,633467.87
1147528.73,0,0,1139409.5,8119.23,0,2,0,0,2,0,0.058479532,342,20,3742,0,1293,0,0,1293,0,0,1647,0,0.919712071,1806,1661,197,0,540,0,228,197,229,216,147,48,10,4,1066,750,0,0.268875086,7245,1948,0.232436163,7245,1684,0.076923077,13,1,67542.25,0,0,425,67117.25,325176.98,0,255860.5,69316.48
1214788.14,38193.1,0,1138970.33,37624.71,0.24127907,3440,830,0.247870294,3639,902,0.752284264,985,741,179084.84,0.520525452,4263,2219,0.525920713,4263,2242,0.428761398,5264,2257,0.367995487,5318,1957,504,2,1439,0,689,691,947,1284,1094,624,187,42,4366,3131,9,0.633798692,10243,6492,0.542419213,10243,5556,0.680306905,391,266,985189.59,799.08,0,351125.09,633265.42,1114367.92,0,704179.2,408809.1
1177738.26,0,0,1134126.15,43612.11,0.859223301,412,354,0.849785408,466,396,0.683544304,237,162,82340.5,0.323214286,560,181,0.325,560,182,0.06271777,574,36,0.246205734,593,146,11,1,63,0,82,154,209,170,139,47,5,0,489,393,0,0.776902887,762,592,0.728346457,762,555,0,19,0,371118.57,0,0,104253.03,266865.54,463157.15,0,332031.56,131125.59
1205888.21,0,119,1130271.71,75497.5,0.879581152,573,504,0.852146264,629,536,0.616883117,154,95,31703.85,0.519287834,674,350,0.519287834,674,350,0.383916991,771,296,0.44021025,761,335,101,0,138,0,159,194,153,116,53,15,4,2,522,413,1,0.472446237,1488,703,0.317204301,1488,472,0,86,0,262709.49,0,0,40798.77,221910.72,302937.48,0,195294.88,107642.6
1195546.78,0,0,1112008.76,83538.02,0.605828221,652,395,0.604885057,696,421,0.619607843,255,158,49768.5,0.365358593,739,270,0.372124493,739,275,0.353107345,708,250,0.203059805,719,146,42,1,161,2,178,256,216,218,150,48,11,3,728,558,0,0.852135816,913,778,0.779846659,913,712,5.904761905,21,124,182728.67,0,0,42620.93,140107.74,388534.29,0,265594.99,122939.3
1110481.01,0,0,1102216.75,8264.26,0.465909091,352,164,0.464985994,357,166,0.714285714,126,90,20449.5,0.470338983,472,222,0.470338983,472,222,0,434,0,0.307407407,540,166,31,0,99,0,103,78,103,126,49,31,9,2,382,250,0,0.481427531,1373,661,0.410050983,1373,563,0,0,0,82386.67,0,0,258,82128.67,212862.52,0,173775,39087.52
1105164.12,0,0,1100367.04,4797.08,0,0,0,0,1,0,0,81,0,17967.67,0,528,0,0,528,0,0.041292639,557,23,0.209621993,582,122,24,1,96,0,77,68,103,183,142,61,27,6,499,289,1,0.614330875,949,583,0.572181243,949,543,0.105263158,19,2,363714.73,0,0,278302.94,85411.79,-105946.54,0,-137744.89,31798.35
1307800.51,68661.51,0,1099726.12,139412.88,0.672619048,3864,2599,0.66719457,4420,2949,0.760986066,1866,1420,383578.8,0.459399333,5394,2478,0.464590286,5394,2506,0.334898279,6390,2140,0.278885675,6569,1832,664,0,1278,2,972,1068,1181,1287,1312,919,388,65,5478,3658,4,0.695855971,9387,6532,0.652498136,9387,6125,0.222222222,513,114,2073154.01,654.9,0,591801.85,1480697.26,2495215.01,0,1552157.93,935474.81
1090610.09,0,170,1065756.15,24683.94,0,1,0,0,1,0,0,83,0,28929,0,257,0,0,257,0,0.855575868,547,468,0.880778589,411,362,21,0,31,0,112,103,61,53,65,20,5,2,299,174,0,0.745454545,55,41,0.618181818,55,34,0,0,1,117924.82,0,0,75798.27,42126.55,139240.28,0,116992.5,22247.78
1075976.45,0,0,1065446.38,10530.07,0.757281553,412,312,0.758454106,414,314,0.637820513,312,199,78876.06,0.441136671,739,326,0.441136671,739,326,0.008055236,869,7,0.128854626,908,117,16,0,174,1,148,152,178,275,206,83,33,5,748,523,0,0.591977077,1745,1033,0.574212034,1745,1002,0.266666667,15,4,186261.78,0,0,14683.24,171578.54,373887.43,0,273539.77,100347.66
1143946.95,0,0,1058152.09,85794.86,0.658682635,167,110,0.642045455,176,113,0.575,160,92,43089.08,0.269689737,419,113,0.269689737,419,113,0.068965517,435,30,0.471578947,475,224,25,0,90,0,70,79,110,93,67,22,7,2,347,218,0,0.734265734,715,525,0.717482517,715,513,0,9,0,105636.6,0,0,14145.56,91491.04,173472.04,0,128684.44,44787.6
1064763.15,0,3020.88,1051998.94,9743.33,0.874015748,254,222,0.859778598,271,233,0.603448276,58,35,13819.49,0.484536082,194,94,0.489690722,194,95,0.2,185,37,0.484536082,194,94,6,0,6,0,41,46,74,78,74,25,5,0,244,111,0,0.570987654,324,185,0.543209877,324,176,0,0,3,163001.51,0,624.78,111.03,162265.7,292039.86,636.21,213500.87,77902.78
1069273.85,3437.18,0,1050785.2,15051.47,0.323099415,684,221,0.322396576,701,226,0.032,125,4,18517.77,0.573333333,825,473,0.574545455,825,474,0.375514403,972,365,0.308012487,961,296,95,0,248,0,166,149,169,172,137,99,38,9,783,499,0,0.833458365,1333,1111,0.725431358,1333,967,0,84,0,165734.18,27.3,0,54887.73,110819.15,329092.33,0,266546.85,61706.97
1137045.18,0,0,1044205.96,92839.22,0,0,0,0,1,0,0.34591195,159,55,47902.27,0,588,0,0,588,0,0.359183673,1470,528,0.297278437,1433,426,142,0,282,1,176,226,238,297,268,146,47,7,1133,696,1,0.683870968,1860,1272,0.558064516,1860,1038,0.084057971,345,29,278538.68,0,0,143055.94,135482.74,322464.49,0,248501.9,73962.59
1119373.33,0,119,1040403.73,78850.6,0.812765957,470,382,0.811133201,503,408,0.632,125,79,26542.1,0.519417476,618,321,0.522653722,618,323,0.525658807,721,379,0.442225392,701,310,101,0,149,1,124,189,131,110,52,13,7,0,476,400,2,0.37721519,1975,745,0.284556962,1975,562,0,101,0,218330.39,0,0,27996.5,190333.89,331862.36,0,223680.38,108181.98
1085402.18,0,0,1039913.56,45488.62,0.880102041,392,345,0.875912409,411,360,0.631111111,225,142,65444,0.336805556,576,194,0.338541667,576,195,0.082125604,621,51,0.32037325,643,206,17,0,75,0,63,173,221,179,136,44,7,2,497,421,0,0.685330347,893,612,0.651735722,893,582,0,29,0,261307.69,0,0,4020.54,257287.15,471093.08,0,346914.98,124178.1
1049944.83,0,0,1032875.79,17069.04,0.620689655,145,90,0.606666667,150,91,0.552845528,123,68,26212,0.274238227,361,99,0.274238227,361,99,0.584856397,383,224,0.151807229,415,63,2,0,28,0,37,26,81,113,129,97,21,3,343,193,1,0.760586319,614,467,0.701954397,614,431,0.5,36,18,96425.24,0,0,8070.6,88354.64,154263.58,0,95382.87,58880.71
